conversation,agency
"user: Tere! Olen kuulnud, et Venemaa kodanikele on piirangud Eestisse sisenemisel. Kas see on tõsi ja millest see tingitud on?
assistant: Tere! See on tõsi. Alates 19. septembrist 2022 on Eestisse sisenemine piiratud Venemaa Föderatsiooni kodanikele, kellel on kehtiv Schengeni lühiajaline viisa. See piirang on kehtestatud Vabariigi Valitsuse korraldusega 8. septembri 2022 nr 247 järgi.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Olen kuulnud, et piiri tugevdamisel on kasutatud lõiketraati. Kas see ei mõju metsloomadele? On neil raskusi sellega? 
assistant: Tere! Jah, see on küllaltki oluline küsimus. Paljud kohalikud ja jahimehed on murelikud. Üldjuhul on väikesed loomad piisavalt paindlikud, et lõiketraadist läbi pääseda. Kuid suuremate loomade puhul on ohtu, et nad sellega kinni jooksevad.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma tahan kaebust esitada Tarbijakaitse ja Tehnilise Järelevalve Ametile. Kust ma alustan?
assistant: Tere! Kõigepealt peaksid pöörduma kaebusega otse kaupleja poole. Seadus kohustab kauplejat vastama sinu kaebusele 15 päeva jooksul. Alles siis, kui kaupleja ei vasta või te ei jõua kokkuleppele, saad pöörduda Tarbijavaidluste komisjoni poole.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Olen kuulnud palju 5G kohta, aga ma ei ole päris kindel, mis see tähendab. Saaksite mulle öelda, mis on 5G põhilised arengusuunad selle materjali järgi?
assistant: Tere! 5G tehnoloogia arenguteks on kolm peamist suunda: suurendatud andmesidekiirus (eMBB), tagatud ajakriitilised reaalajasüsteemid (URLLC) ja suurearvuline väikeseadmete kommunikatsioon (mMTC). Nii et põhimõtteliselt on see kiirem, usaldusväärsem ja suudab rohkem seadmeid korraga toetada.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimus Politsei- ja Piirivalveameti poole pöördumise kohta. Kuidas ma saan teavet taotleda?
assistant: Tere! Teavet saab taotleda mitmel viisil. Saab esitada teabenõude konkreetse dokumendi saamiseks, selgitustaotluse, kui on vaja täpsemat vastust, või märgukirja, et anda ettepanekuid PPA tööle. Kui soovite tutvuda enda andmetega, saate esitada andmesubjekti päringu.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Mul on küsimus rõivaste ja jalatiste kohta. Mis on oluline, mida ma peaksin ostes silmas pidama märgistuse osas?
assistant: Tere! Rõivaste ja jalatiste märgistuselt peaksid kindlasti leidma toote nimetuse, suurustähistuse, materjalikoostise (v.a karusnahast ja nahast rõivastel) ning hooldustähistuse. Samuti on oluline, et materjalide kohta oleks täpne info, eriti kui tegu on naturaalse nahaga või karusnahaga.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Olen kuulnud, et Politsei- ja Piirivalveamet on lapsevanematele ohutusraamatu välja andnud. Mis see raamat sisaldab?
assistant: Tere! Jah, see on tõsi. See ohutusraamat on mõeldud eelkõige 1. klassi minevate laste vanematele. See ongi Politsei- ja Piirivalveameti poolt toetav materjal, mis käsitleb lapse turvalise kasvukeskkonna loomist ja lapse ohutust erinevates elualdades. Seega, tegelikult sisaldab see informatsiooni lapse turvalisuse kohta koolitee alguses.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma sain uue mobiil-ID SIM-kaardi. Mitte aru ei saa, mis need PIN-koodid on ja mida ma neilt peaks tegema.
assistant: Tere! Tore, et sa oled uue mobiil-ID SIM-kaardi saanud. Need PIN-koodid on olulised, et sa võiksed mobiil-IDga seotud tehingud ja toimingud teha. Seal on kolm koodi: PIN1, PIN2 ja PUK. PIN1 ja PIN2 on vajalikud, et sisselogida ja tehinguid kinnitada. PUK on vajalik, kui need koodid lukku lähevad. Sa leiad need koodid SIM-kaardi ümbrise alt kraabitava pinna alt.",output_ID.ee
"user: Tere! Ma kuulsin, et kui mulle viisast keeldutakse, siis ma saan sellega midagi teha. Kas ma saan selle otsuse vaidlustada?
assistant: Jah, see on õige. Välismaalasel on õigus vaidlustada viisa andmisest keeldumise, viisa kehtetuks tunnistamise või viisa tühistamise otsust. Sa saad selle kohta vaide esitada Politsei- ja Piirivalveametile (PPA).",output_Politsei-_ja_Piirivalveamet
"user: Tere! Kas saaksite mulle öelda, mis on Riigiportaal eesti.ee?
assistant: Muidugi! Riigiportaal eesti.ee on Eesti uus digiregionsümbol. See on üks keskoht, kus saate hallata kõiki oma riigiga seotud infot ühes kohas. See on nagu ühtne keskkaabel, mis koondab palju erinevaid teenuseid ja infot.",output_ID.ee
"user: Tere! Kas sa oskad öelda, milleks mobiil-ID on?
assistant: Tere! Mobiil-ID on digitaalne identifikaator, mida saab kasutada erinevates e-teenustes, näiteks pankades, riigilikus ja muudes võrketeenustes. See võimaldab sul e-teenustes sisse logida ühtse identifikaatori abil, mitte iga kord erineva kasutajanime ja salasõna.",output_ID.ee
"user: Tere! Mis on Akadeemia Vabaühenduse peamine tegevus?
assistant: Vabandage, tekstis ei mainita Akadeemia Vabaühendust. Tekst käsitleb peamiselt mõõtevahendite direktiive ja märgistamist Euroopa Liidus.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Olen just Soomast uue telefoni ostnud. Mis siis, kui see peagi katki läheb? Kas mul on õigused siin Eestis?
assistant: Tere! Soomast ostetud telefoni puhul on hea meel kuulda, et EL ja Euroopa Majanduspiirkonnas (kuhu Soomagi kuulub) on tarbijatele kehtestatud sarnane kaitsetase. Sul on õigus esitada kaebus telefoni defekti kohta vähemalt kahe aasta jooksul alates ostukuupäevast. Oluline on alles hoida ostutšeki või maksekorralduse väljavõte tõendamaks ostu.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma arvan, et Mobiil-ID on minu jaoks oluline. Kuidas saan aru, kas minu Mobiil-ID on ikkagi kehtiv?
assistant: Tere! Noh, seda saab kindlasti kontrollida. Sul on võimalik seda kontrollida oma mobiilsideoperaatori iseteeninduses. Telia mobiil-ID leiate siin: https://www.telia.ee/era/lisateenused/mobiil-id, Elisa mobiil-ID siin: https://www.elisa.ee/et/eraklient/apid-ja-lisateenused/lisateenused/mobiil-id, ja Tele2 mobiil-ID siin: https://tele2.ee/teenused/mugavusteenused/mobiil-id. Kas sa tead, milline operaator sulle Mobiil-ID andis?",output_ID.ee
"user: Tere! Ma kuulen, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) tegeleb sideteenuste tarbijate kaitsega. Mis täpselt see siis tähendab?
assistant: Tere! Jah, see on õige. TTJA reguleerib sideteenuste valdkonda, et kaitsta tarbijate õigusi. Näiteks elektroonilise side seadus sätestab, kuidas sideteenuse lepinguid sõlmida ja milliseid nõudeid peab lepingu tingimustele järgima. See puudutab lepingute muutmist, rikete kõrvaldamist ja piiramistgi.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimusi Rail Balticu kohta. Kust ma saan teada, kes selle projekti planeerimisel kõige rohkem kaasa tegi?
assistant: Tere! Rail Balticu projekti planeerimisel juhtis laiapõhjaline juhtkomitee, kus olid esindatud Pärnu, Rapla ja Harju maavanemad ning maavalitsuste esindajad. Sinna kuulusid ka Eesti Raudtee, Keskkonnaministeerium, Maa-amet, Tarbijakaitse ja Tehnilise Järelevalve Amet ja Majandus- ja Kommunikatsiooniministeerium.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma lähen relvaloa pikendamist taotlema. Kas ma pean kindlasti selle täiendava laskekatse sooritama?
assistant: Tere! See oleneb relva otstarbetest. Kui relvaloa märgitud otstarbeks on enese ja vara kaitse, siis jah, pead täiendava laskekatse sooritama. Aga kui sinna on märgitud jahipidamine või sport, siis seda ei pea tegema.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Kas mul on DigiDoc4 rakenduses mingisugused piirangud digiallkirjade kohta? Ja kuidas see ajatempel asja ajab?
assistant: Tere! Jah, piirangud on olemas. Piirang puudutab isiklikuks tarbeks digiallkirjastamist, mis toimuvad läbi DigiDoc4 rakenduse ja RIA DigiDoc mobiilirakenduse. Kuus on ette nähtud tasuta digiallkirju, aga see arv on muutunud ja seda piirangut ravivad ID-kaardi, Digi-ID või Mobiil-ID abil tehtavad allkirjad. Peamaseks on see, et piirang puudutab ainult neid digiallkirju, mis tehtakse just selle rakenduse kaudu, mitte näiteks e-teenustes, nagu internetipankades.",output_ID.ee
"user: Tere! Olen kuulnud, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) teeb avalike mänguväljakute osas kontrolli. Mis on nende peamine vastutus selles küsimuses?
assistant: Tere! TTJA peamine vastutus on järelvalveteenus, mis tagab, et avalikud mänguväljakud on ohutud ja vastavad nõuetele. Omanik on vastutav mänguväljaku tehnilise korrasoleku ja ohutuse eest. See tähendab, et mänguväljakud peavad olema rajatud heast ehitustavast lähtudes ja seal paigaldatud seadmete peavad olema ohutud nende ettenähtud otstarbel.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Kuulin, et Eesti piiri ehitustööd käivad. Mis on selle hanke üldine eesmärk?
assistant: Tere! Põhiliselt on eesmärk tugevdada Eesti välispiiri turvalisust. Politsei- ja Piirivalveamet (PPA) on käivitunud mitme etapina jagatud piiriehituse hankega, et tagada piiriturvalisus ka tulevikus.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma saan aru, et teiega on seotud DigiDoc konteinerid. Kas mul on mõni uus teadaolev formaat, mis on ID tarkvaras toetatud?
assistant: Tere! Jah, seda on. DigiDoc konteinerid on ID tarkvaras toetatud erinevates versioonides, aga on oluline teada, et on olemas ka BDOC formaat. See loodi selleks, et asendada Eesti-spetsiifiline DDOC formaat. Kas sulle huvitaks, et teada saada, kuidas see erineb DDOC'st?",output_ID.ee
"user: Tere! Ma saan aru, et DigiDoc4 rakendusega saab faile krüpteerida. Aga kuidas see tegelikult toimib? Ükskord ei ole mul sellega kunagi olnud kogemust.
assistant: Tere! Päevad! Kui teil on mõni fail, mida soetate turvalisemalt edastada, siis DigiDoc4 pakub võimalust neid krüpteerida. See tähendab, et faile saab muuta nii, et neid saab avada ainult need, kellel on selleks luba. Ükskord ei ole mul sellega kunagi olnud kogemust.",output_ID.ee
"user: Tere! Ma sain trahviteate ja seal on mainitud kiiruskaamera. Kas mulle automaatselt saadetakse foto, mille alusel trahv määrati?
assistant: Tere! Ei, trahviteatele ei lisata koopia kiiruskaamera pildist. Kuid, kui sa oled sõiduki eest vastutav isik ja soovid pildi koopiat, saad selle taotleda.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma arvan, et ma saan aru, et digitembeldamine on midagi seotud digiallkirjadega. Kas sa võiksite selgitada, mis see täpne on ja miks seda on vaja? Kui palju tean? 
assistant: Tere! Jah, seda saab öelda nii. Digitembeldamine on seotud digiallkirjade andmisega juriidilistele isikutele. See tähendab, et SK ID Solutions AS pakub e-Templi teenust, mis annab kinnituse sellele, et elektrooniliselt saadetud dokument või muu info pärineb tõepoolest selle saatnud asutusest. See on nagu digitaalne kiri, millele lisatakse kinnitus, et see on pärit sellest, kes selle on saatnud. Kas sa tead, et e-Tempel põhineb kvalifitseeritud e-Templi sertifikaatidel?",output_ID.ee
"user: Tere! Ma nägin, et Politsei- ja Piirivalveamet on Facebookis. Kas teil on palju erinevaid Facebooki lehti?
assistant: Tere! Jah, PPA täidab oma suhtluse strateegiat mitmete Facebooki lehtede kaudu. Peaasi on Põhja, Lääne, Lõuna ja Ida prefektuurid, aga ka PPA end seltsi. Lisaks on olemas PPA fännileht ja Politseikoerte Instagram! Kas sul on mõni leht, mille kohta sa tahad rohkem teada? Näiteks kas sa olid huvitatud Põhja prefektuuri lehest? https://www.facebook.com/pohjaprefektuur",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma imestan, kuidas Politsei- ja Piirivalveamet kasutab minu isikuandmeid, kui ma teieni pöördun. Saaksin selle kohta rohkem teada?
assistant: Tere! Jah, muidugi. Me kasutame teie isikuandmeid pöördumise lahendamiseks ja teile vastamiseks. Kui me peame pöördumise lahendamiseks küsimusi esitama teistele asutustele, siis edastame neile ainult nii palju andmeid, mis on vastuse koostamiseks absolutne vaja. Me püüame minimeerida avaldatava info hulka. Kas teil on selle kohta veel küsimusi?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Kas te oskate öelda, kus asub Rakvere politseijaoskond?
assistant: Muidugi! Rakvere politseijaoskond asub aadressil Fr. R. Kreutzwaldi 5a, 44314 Rakvere. See on suht mugav, kust bussid nr 5 ja 5A peatuvad.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma olen välismaalane ja plaanin Eestis ettevõtlusega alustada. Kas ma saan elamisluba, kui olen füüsilisest isikust ettevõtja (FIE)?
assistant: Tere! Jah, FIE-le ettevõtluseks elamisluba antakse. Kuid selleks on mitmed tingimused, mis peavad täidetud olema. Üks oluline tingimus on see, et olete oma ärisse Eestis vähemalt 16 000 eurot investeerinud.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin, et Tarbijakaitse ja Tehnilise Järelevalve Amet teeb koduohutusega seoses tööd. Mis see tähendab täpselt?
assistant: Tere! Jah, meil on täpselt nii. Peamiselt tähendab see, et ehitise omanik vastutab selle ohutuse eest. Korterelamutes on oluline eristus: reaalosaks on korter ise ja kaasomandiks on ühiskasutuses olevad konstruktsioonid, näiteks küttesüsteem või trepikoda. Sellega seoses on teatud asjades piirangud. Näiteks, ümberehitamine kaasomandis ei ole lubatud omavoolul.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma ei saa aru, kuidas minu ID-kaardi lugeja korralikult töötada. Kas teil on mõningaid nõuandeid?
assistant: Tere! Ma saan aru. Alustame kõige põhilisega. Enne kui su ID-kaartega mingi probleemi ilmneb, tasub veenduda, et sinu arvutisse on ID-tarkvara paigaldatud. Sa saad selle alla laadida siin: https://www.id.ee/artikkel/paigalda-id-tarkvara. Kas oled seda teinud?",output_ID.ee
"user: Tere! Ma olen kuulnud, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) järelvalvega gaasiseadmete suhtes. Mis see tähendab tegelikult?
assistant: Tere! See tähendab, et TTJA jälgib, et turul olevad gaasiseadmed ei ohusta inimeste tervist ja turvalisust. Oluline on, et need oleksid valmistatud ja paigaldatud õigesti, regulaarselt hooldatud ja kasutatud ettenähtud otstarbel. TTJA võib peatada ohtliku gaasiseadme levitamise ja kasutamise, kui on kahtlusi selle ohutuses.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olen kuulnud Mobiil-ID kohta, aga ei ole kindel, mis see on ja kuidas see töötab. Kas saaksite seda veidi selgitada?
assistant: Muidugi! Mobiil-ID on elektrooniline isikutuvastussüsteem, mis võimaldab teil sisse logida erinevate e-teenustega teie mobiiltelefoniga. See tähendab, et te ei pea pidevalt kaasas hoida ID-kaarti. Kas te teadate, et Mobiil-ID on turvaline ja seda saab kasutada seadmeüleselt – nutitelefonist, tahvelarvutist või arvutist. Kas soovite rohkem teada selle kohta?",output_ID.ee
"user: Tere! Ma nägin, et DigiDoc4 rakendus on muutunud. Kas ma saan endiselt dokumente digiallkirjastada sellega?
assistant: Tere! Jah, seda saate. Küll aga on piirangud sellel, kui palju digiallkirju te saate kuus teha. Alates DigiDoc tarkvara loomisest on teatud arv tasuta allkirju kuus. See on muutunud paari aasta jooksul suuremaks, kuid see jääb endiselt piiratud.",output_ID.ee
"user: Tere! Ma tahan elamisloakaarti taotleda. Kuidas ma riigilõivu maksta saan?
assistant: Tere! Riigilõivu tasumiseks on mitu võimalust. Saaja on Rahandusministeerium ja viitenumber on 2900082443. Pangad, kus riigilõivu maksta saad, on SEB (EE891010220034796011), Swedbank (EE932200221023778606), Luminor Bank (EE701700017001577198) ja LHV Pank (EE777700771003813400).",output_Politsei-_ja_Piirivalveamet
"user: Tere! Mul on küsimus Tarbijavaidluste komisjoni kohta. Kas saaksid rääkida, mis see komisjon on?
assistant: Tere! Tarbijavaidluste komisjon on Tarbijakaitse ja Tehnilise Järelevalve Ameti osa, mis lahendab tarbijate vaidlusi kauplejatega. Kui sa ei saa oma probleemiga kauplejaga kokkuleppele, saad avalduse komisjonile esitada.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olin just poest mänguasi ostmas pojale, aga nüüd ma mõtlen, mida ma peaks silmas pidama, et see oleks ohutu. Mis on kõige olulisem märk, mida mänguasil peaks olema?
assistant: Tere! See on väga hea, et sa silmas pead ohutust. Kõige olulisem märk mänguasil on CE-märk. See garanteerib, et mänguasi vastab Euroopa Liidu ohutuse ja muude nõuetele. Mänguasi peaks olema sellega märgistatud nähtaval viisil.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Palun, kas saaksid anda mulle ülevaate sellest DigiDoc4 tarkvarast? Kas tead, milliseid operatsioonisüsteeme see toetab?
assistant: Tere! Muidugi. DigiDoc4 on ID-kaartide digitaalne allkirjastusprogramm. See on uus versioon vana DigiDoc3 programmi, mis on mõeldud ID-kaartidega töötamisele. Praegu toetab see Windowsi (uimastest versioonid), macOS (uimastest versioonid) ning Ubuntu'i (uimastest versioonid). Kas saaksid öelda, millist operatsioonisüsteemi sa kasutad, et ma saaksin sulle paremini nõu anda?",output_ID.ee
"user: Tere! Ma arvan, et politsei saab konverentsidel abi pakkuda? Kas on olukord, kus neil on vaja konverentsil lisaks korraldajale veel üht inimest?
assistant: Tere! Jah, seda võib juhtuda. Politsei võib suurendada konverentsil korrapidajate arvu, kui arvab, et määratud korrapidaja ei suuda korraldajat piisavalt aidata. See on oluline, kui arvab, et on võimalik kõrgendatud ohu tekkimine või juba tegu on kõrgendatud ohuga. Kas sa mõtled midagi konkreetset? Näiteks kuidas see tä hakkab toimima?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma ei ole päris kindel, kuidas ID-kaardi PIN-koodi ja PUK-koodi vahetada. Kas on sellega vaja DigiDoc4 programmi?
assistant: Tere! Jah, DigiDoc4 on selle jaoks parim vahend. Soovitame kindlasti kohe PIN- ja PUK-koodid vahetada. Need on olulised, et sa neid meelepäraselt meenutada saaksid. Kas sa oled varem DigiDoc4 programmi kasutanud?",output_ID.ee
"user: Tere! Mul on küsimus kodakondsuse kohta. Ma olen eestkostetav, ja tahaksin teada, millised on need tingimused, et Eesti kodakondsust saan taotleda?
assistant: Tere! Päev vastu! Tegelgelt, eestkostetav saab Eesti kodakondsust taotleda, kui täidab mitmeid tingimusi. Peamised need on: sa pead olema vähemalt 15-aastane, ja sul peab olema pikaajalise elaniku elamisluba või alaline elamisõigus. Kas sa tead, mida see pikaajaline elanik on?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma soovin dokumente digiallkirjastada mobiilirakendusega DigiDoc. Kuidas see kõigepeigem toimub?
assistant: Tere! Päevapeale. Digiallkirjastamine DigiDoc mobiilirakenduses on üsna lihtne. Põhiline on see, et seda saab teha ID-kaardi, mobiil-ID või Smart-ID abil. Kõigepealt tuleb avada rakendus ja sealt menüüst valida 'Allkirjasta'. Kas sa kasutad ID-kaarti, mobiil-ID või Smart-ID-d?",output_ID.ee
"user: Tere! Mis on uus DigiDoc tarkvaras? Saaksin teada, milliseid versioone te saate toetada?
assistant: Tere! Päevääre! DigiDoc tarkvaras on mitmeid uusi versioone ja uuendusi. Viimasesse versiooni (v. 19.7.0.1837) toetame macOS 10.11 ja hiljem. See versioon on uusim ja pakub parima jõudluse ja turvalisuse. Varem toetame ka versioone 18.3 kuni 18.10. Kas sa tahaksid teada, milliseid muudatusi selles versioonis on tehtud?",output_ID.ee
"user: Tere! Ma olen kuulnud, et ehitustoodetega on seoses uusi määruseid. Mis on Tarbijakaitse ja Tehnilise Järelevalve Ameti (TJJA) roll selles osas?
assistant: Tere! Jah, see on õige. TJJA vastutab ehitustoodete turujärelevalve eest Eestis. Nad veenduvad, et tootjad järgivad vastavaid nõudeid ja et ehitustooted on ohutud ja vastavad standarditele.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma pole päris kindel, mida tähendab ID-kaardi sertifitseerimine. Kas saaksid sulle teada, mida see täpselt on?
assistant: Tere! Muidugi. ID-kaardi sertifitseerimine on protsess, millega ID-kaardi omanik tõestab oma identiteeti. See tähendab, et võid saada ID-kaardile juurdepääsu ja seda kasutada erinevates eesti avalikus veebis. Sertifitseerimisel kontrollitakse, et sa oled tegelikult see, kes sa väidate olevat. Hetkel on aktuaalne sertifitseerimispoliitika (https://www.id.ee/wp-content/uploads/2024/07/cp_esteid_v2.1.-.pdf), mille alustasime kasutama 16. augustil 2024. Kas sa soovid, et ma selle kohta rohkem täpsemat infot annaks?",output_ID.ee
"user: Tere! Mul on küsimus tarbijakaitse kohta. Mis ma peaksin tegema, kui ostsin toote ja see on defektne?
assistant: Tere! Kui ostsite defektse toote, on Teil seadme poolest õigus nõuda müüjalt esmalt tasuta parandamist või selle asendamist uue tooga. Müüja otsustab reeglina ise, kas ta toote parandab või asendab. Selliseid õigusi on Teil seadusega tagatud, isegi kui müüja ei pakka garantiid.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma tahan lapsele ID-kaarti taotleda. Kuidas riigilõivu maksta?
assistant: Tere! ID-kaardi taotlemisel lapsele on mitmeid võimalusi. Kui taotled iseeningukeskuses, saad riigilõivu koheselt seal tasuda. Kui maksad pangaülekandega, saadaval on erinevad panga kontod. Kas soovid, et ma need kontod loetle?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma lugesin, et Politsei- ja Piirivalveamet avaldab liiklusinfo kohta andmeid. Mis seal täpselt näha on?
assistant: Tere! Politsei- ja Piirivalveameti lehel on ülevaade liiklusõnnetustest, mille puhul on inimesed kannatanud. See tähendab, et seal näidatakse liiklusõnnetuste arvu, kus keegi on saanud vigastusi või vaja on olnud meditsiiniabi.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin Rail Balticu kohta palju juttu. Kuidas Tarbijakaitse ja Tehnilise Järelevalve Amet selle projektiga seotud on?
assistant: Tere! Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) menetleb Rail Balticu projekti puhul ehitus- ja kasutuslubasid, samuti projekteerimistingimusi. Kui ehitisel baseerub riigi eriplaneering, siis on TTJA ehitusloa andjaks.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olen kuulnud, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) töötleb isikuandmeid. Kuidas see täpselt käib?
assistant: Tere! Jah, see on õige. TTJA töötleb isikuandmeid, näiteks kui te meile kirjutate või olete mõne menetluse osapoolena. Me töötleme neid erinevates infosüsteemides, sealhulgas ka üleeuroopalistes. Kõigis süsteemides on tagatud isikuandmete kaitse.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma elan välismaal ja tahan teada, kuidas ma saan Eesti passi taotleda. Mis on kõige lemmikum viis seda teha?
assistant: Tere! Välismaal saab Eesti passi taotleda kas iseteeninduses (https://etaotlus.politsei.ee/#/login) või Eesti Vabariigi välisesinduses. Kas sa tead, millises välisesinduses sa soovid dokumendi taotleda?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin, et Tarbijavaidluste komisjon KKK aitab probleemidega kauplustega. Kas komisjonis kaebuse esitamine on tasuta?
assistant: Tere! Jah, küllap. Kaebuse esitamine Tarbijavaidluste komisjoni menetlusse võtmine on täiesti tasuta. Samuti on avalduse läbivaatamine tasuta.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma nägin ühte reklaami ja mõtlesin, kas Tarbijakaitse Amet kontrollib reklaamide nõuetekohasus?
assistant: Jah, küllap! Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) jälgib, et reklaam ei rikkuks seadust. Põhilist nõuet on see, et reklaam peab tavaliselt tähelepanu korral olema selgelt eristatav muust teabest – see peab kohe näha, et tegemist on reklaamiga.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olen huvitatud sellest, mida ma pean tegema, kui mul on probleeme elektriarvete või jäätmeveoga. Kus ma saan abi?
assistant: Tere! Kui Sul on probleeme elektriarvete või jäätmeveoga, on mitmeid kohti, kust Sa abi leiad. Elektriarvete osas saad pöörduda TTJA tarbijavaidluste komisjoni poole. Jäätmeveo puhul saad esmalt pöörduda kohaliku omavalitsuse poole, kui probleem ei lahene, saad pöörduda TTJAsse. Mis täpsemalt Sind muretseb – elektriarved või jäätmeveo probleem?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimus Politsei- ja Piirivalveameti lipudest. Alustame lihtsast: mis on Politseiameti lipu põhivärv?
assistant: Tere! Politseiameti lipu põhivärv on sinine. See on üks meie riigilipu värve ja sümboliseerib rahu ja stabiilsust.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulen, et on olemas Tarbijavaidluste komisjon. Mis see komisjon täpselt on ja kuidas see tarbijaile aitab?
assistant: Tere! Tarbijavaidluste komisjon on selline koht, kus saab lahendada vaidlusi, mis tekivad tarbija ja kaupleja vahel lepingu tõttu. See on palju lihtsam ja kiirem kui kohtuvaidlus, ja see on nii tarbija kui ka kaupleja jaoks tasuta. Üldjuhul lahendatakse probleem 90 päeva jooksul.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimus Tarbijakaitse ja Tehnilise Järelevalve Ameti komisjoni töös. Mis juhtub, kui mul on probleem kauplejaga ja pöördun nende poole?
assistant: Tere! Üldjuhul annab Tarbijakaitse Ameti komisjon kauplejale aega, et ta saaks oma seisukoha kujundada ja vastata sinu väidetele. Neil on võimalik vaadata läbi kõik olulised asjaolud, et saaksite koos lahendust leida.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kuulsin, et TTJA järelvalve meediateenuste suhtes on. Mis see tähendab?
assistant: Tere! Jah, TTJA järelkab meediateenuste puhul seda, kas teenuseid osutavad ettevõtted on Eestist saanud tegevusloa. Saate nende nimekirja siit: /ariklient/ametist/load-ja-riigiloivud/meediateenuste-tegevusluba. Mis teid selles osas kõige rohkem huvitab?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma saan aru, et ID-kaardiga seotud sertifikaadid on olulised. Aga kuidas see töötab tegelikult? Miks on need nii olulised? Kas ma saan sellega midagi teha, ilma et ma PIN-koodi tean?
assistant: Tere! Päevas! Nii jah, sertifikaadid on nagu sinu digitaalne võti e-teenustesse. Need seovad sind ID-kaardiga (või teiega liidetud muude digitaalsete dokumentidega) ja lubavad sinule e-teenustes sisse logida ja allkirju anda. Kuigi alati vajavad need PIN-koodi (ja PUK-koodi), on see nii selleks, et vältida ebaseaduslikku kasutamist. Mida sa pead silmas, et ilma PIN-koodita ei saa e-teenustega midagi teha.",output_ID.ee
"user: Tere! Ma olen kuulnud, et Tarbijakaitseamet järelvalvib gaasiseadmete turvalisust. Kuidas see täpsemalt toimib?
assistant: Tere! Jah, TTJA järelvalve eesmärk on tagada, et turul olevad gaasiseadmed ei ohusta inimeste tervist ja turvalisust. See tähendab, et seadmed peavad olema valmistatud ja paigaldatud õigesti, regulaarselt hooldatud ning kasutama ettenähtud otstarbel. TTJA võib peatada ohtliku seadme levitamise ja kasutamise ning vajadusel nõuda selle turult kõrvaldamist, kui ekspertiis näitab, et seade ei vasta nõuetele.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
